Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Fresh Vegetable Fajitas,North,Lunch,"Wheat, Soybeans","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,150,1 EACH,5.4g,22g,1g,1.2g,0g,5.3g,0mg,1.3g,418.6mg,3.6g,78.9mg,1.5mg,0mcg,327.2mg
Frijoles Refritos Con Queso,North,Lunch,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,148,4 OZ,3.8g,20.4g,1.2g,0.5g,0g,0.7g,5.6mg,0g,389.4mg,7.6g,104.1mg,1.3mg,0mcg,306.6mg
Spanish Rice,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,97,4 OZ,0g,21.7g,0g,0.2g,0g,1.6g,0mg,0g,447.7mg,2.1g,35.5mg,1mg,0mcg,75.4mg
Sticky Rice,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,185,4 OZ,0.3g,41g,0g,0g,0g,0g,0mg,0g,2.5mg,3.4g,6.6mg,0.4mg,0mcg,44.9mg
Tortilla Chips,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,142,1 OZ,6.1g,19.2g,0.5g,0g,0g,0g,0mg,0g,111.4mg,2g,0mg,0mg,mcg,mg
Cheese Sauce,North,Lunch,"Milk, Soybeans","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,70,2 OZL,5g,4g,2g,0g,0g,1g,10mg,0g,500mg,2g,104mg,0mg,mcg,mg
Cherry White Chocolate Cookies,North,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,180,1 EACH,7g,27g,3.5g,0g,0g,16g,15mg,0g,115mg,2g,26mg,0.7mg,mcg,mg
Jonathan Bar,North,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,344,1/35 HFPAN,14.6g,48.2g,8.6g,0g,0.4g,27.4g,49.7mg,27.1g,139.6mg,4g,6.9mg,1.3mg,0mcg,30.2mg
Beef Burger No Bun,North,Lunch,,"['Gluten Friendly', 'Less Sodium']",2023-01-19,247,1 EACH,15.7g,0g,5.9g,0g,0.7g,0g,80.7mg,0g,82.6mg,24.5g,25.4mg,2.5mg,0mcg,344.7mg
Cheese Sauce,North,Lunch,"Milk, Soybeans","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,70,2 OZL,5g,4g,2g,0g,0g,1g,10mg,0g,500mg,2g,104mg,0mg,mcg,mg
Grilled Cheese,North,Lunch,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2023-01-19,279,1 EACH,15.5g,25g,9.3g,2g,0g,3g,40.5mg,2g,786.8mg,9.1g,171.6mg,1.3mg,0.1mcg,120.8mg
Grilled Chicken Breast,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-19,86,1 EACH,2.1g,0g,0.5g,0g,g,0g,48.3mg,0g,145mg,17.2g,mg,0.4mg,mcg,mg
Grilled Hot Dogs,North,Lunch,,['Gluten Friendly'],2023-01-19,172,1 EACH,15.2g,2g,5.1g,0g,0g,1g,30.4mg,0g,587.3mg,7.1g,26.3mg,0.7mg,mcg,mg
Grilled Tuna Melt on Whole Wheat,North,Lunch,"Milk, Fish, Wheat, Soybeans",[],2023-01-19,250,1/2 EACH,15.3g,17.4g,5.5g,2g,0g,2.5g,35.6mg,0g,622.8mg,13.8g,106mg,1.1mg,0.1mcg,126.5mg
Straight Cut French Fries,North,Lunch,"Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-19,196,4 OZ,15.2g,17g,1.3g,1g,0g,1g,0mg,0g,520.3mg,1g,20mg,0.4mg,mcg,260.2mg
Tomato Soup,North,Lunch,Wheat,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,63,6 OZL,0g,14g,0g,0g,0g,8.4g,0mg,4.9g,338.8mg,1.4g,16.5mg,0.5mg,0mcg,202.7mg
Guacamole,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,113,2 OZ,9.5g,5.7g,1.9g,0g,0g,1.9g,0mg,0g,245.7mg,1.9g,0mg,0.7mg,mcg,302.4mg
Salsa,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,20,2 OZL,0g,6g,0g,0g,0g,4g,0mg,0g,460mg,0g,0mg,0mg,mcg,150mg
Shredded Cheddar Jack Cheese,North,Lunch,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,223,2 OZ,18.2g,0g,10.1g,0g,0g,0g,60.8mg,0g,364.5mg,14.2g,405mg,0mg,mcg,mg
